//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

leather;334;0;Leather
leatherboots;301;0;Leather Boots
leatherchest;299;0;Leather Tunic
leatherhelmet;298;0;Leather Cap
leatherlegs;300;0;Leather Trousers
maize;mln40;0;
masa;mln42;0;
mayanaxe;mln55;0;
mayangold;1519;2;
mayanhoe;mln57;0;
mayanmace;mln53;0;
mayanpickaxe;mln54;0;
mayanshovel;mln56;0;
mayanstatue;mln39;0;
melonseeds;362;0;Melon Seeds
melonslice;360;0;Melon
mudbrick;1519;1;
mushroombrown;39;0;Mushroom
mushroomred;40;0;Mushroom
netherwart;372;0;Nether Wart
normanaxe;mln8;0;
normanboots;mln16;0;
normanbroadsword;mln12;0;
normanchest;mln14;0;
normanhelmet;mln13;0;
normanhoe;mln10;0;
normanlegs;mln15;0;
normanpickaxe;mln7;0;
normanshovel;mln9;0;
obsidian;49;0;Obsidian
obsidianflake;mln52;0;
painting;321;0;Painting
paper;339;0;Paper
paperwall;1521;0;
parchmentbuildings;mln18;0;
parchmentcomplete;mln20;0;
parchmentindianbuildings;mln36;0;
parchmentindiancomplete;mln38;0;
parchmentindianitems;mln37;0;
parchmentindianvillagers;mln35;0;
parchmentitems;mln19;0;
parchmentjapanesebuildings;mln72;0;
parchmentjapanesecomplete;mln74;0;
parchmentjapaneseitems;mln73;0;
parchmentjapanesevillagers;mln71;0;
parchmentmayanbuildings;mln44;0;
parchmentmayancomplete;mln46;0;
parchmentmayanitems;mln45;0;
parchmentmayanvillagers;mln43;0;
parchmentsadhu;mln47;0;
parchmentvillagers;mln17;0;
pathdirt;1525;0;
pathdirt_slab;1526;0;
pathgravel;1525;1;
pathgravel_slab;1526;1;
pathgravelslabs;1525;5;
pathgravelslabs_slab;1526;5;
pathochretiles;1525;4;
pathochretiles_slab;1526;4;
pathsandstone;1525;3;
pathsandstone_slab;1526;3;
pathslabs;1525;2;
pathslabs_slab;1526;2;
planks_birch;5;2;Birch Wood Planks
planks_jungle;5;3;Jungle Wood Planks
planks_oak;5;0;Oak Wood Planks
planks_pine;5;1;Spruce Wood Planks
porkchops;319;0;Raw Pork Chop
porkchopscooked;320;0;Cooked Pork Chop
potato;392;0;Potato
pumpkin;86;0;Pumpkin
pumpkinseeds;361;0;Pumpkin Seeds
purse;mln92;0;
rasgulla;mln33;0;
redflower;38;0;Rose
redstone;331;0;Redstone
rice;mln28;0;
rottenflesh;367;0;Rotten Flesh
saddle;73;0;Redstone Ore
sand;12;0;Sand
sandstone;24;0;Sandstone
sapling;6;0;Oak Sapling
sapling_birch;6;2;Birch Sapling
sapling_jungle;6;3;Jungle Sapling
sapling_pine;6;1;Spruce Sapling
seeds;295;0;Seeds
shears;359;0;Shears
silk;mln77;0;
silkwormblockempty;1517;3;
silkwormblockfull;1517;4;
skollhatiamulet;mln26;0;
slimeball;341;0;Slimeball
snow;78;0;Snow
souvlaki;mln91;0;
spidereye;375;0;Spider Eye
steelaxe;258;0;Iron Axe
steelboots;309;0;Iron Boots
steelchest;307;0;Iron Chestplate
steelhelmet;306;0;Iron Helmet
steelhoe;292;0;Iron Hoe
steellegs;308;0;Iron Leggings
steelpickaxe;257;0;Iron Pickaxe
steelshovel;256;0;Iron Spade
steelsword;267;0;Iron Sword
stone;1;0;Stone
stoneaxe;275;0;Stone Axe
stonebrick;98;0;Stone Bricks
stonehoe;291;0;Stone Hoe
stonepickaxe;274;0;Stone Pickaxe
stoneshovel;273;0;Stone Spade
stonesword;272;0;Stone Sword
string;287;0;String
sugarcane;338;0;Sugar Canes
tachisword;mln50;0;
tapestry;mln22;0;
thatched;1517;2;
timberframe_cross;1517;1;
timberframe_plain;1517;0;
tnt;46;0;TNT
tripes;mln6;0;
turmeric;mln29;0;
udon;mln49;0;
unknownpowder;mln48;0;
vegcurry;mln30;0;
villagewand;mln11;0;
vines;106;0;Vines
vishnuamulet;mln23;0;
wah;mln41;0;
wheat;296;0;Wheat
wine;mln76;0;
winebasic;mln87;0;
wood;17;0;
wood_any;17;-1;
wood_birch;17;2;
wood_jungle;17;3;
wood_oak;17;0;
wood_pine;17;1;
woodaxe;271;0;Wooden Axe
woodhoe;290;0;Wooden Hoe
woodpickaxe;270;0;Wooden Pickaxe
woodshovel;269;0;Wooden Spade
woodsword;268;0;Wooden Sword
wool_black;35;15;Black Wool
wool_blue;35;11;Blue Wool
wool_brown;35;12;Brown Wool
wool_cyan;35;9;Cyan Wool
wool_gray;35;7;Grey Wool
wool_green;35;13;Green Wool
wool_lightblue;35;3;Light Blue Wool
wool_lightgray;35;8;Light Grey Wool
wool_limegreen;35;5;Light Green Wool
wool_magenta;35;2;Magenta Wool
wool_orange;35;1;Orange Wool
wool_pink;35;6;Pink Wool
wool_purple;35;10;Purple Wool
wool_red;35;14;Red Wool
wool_white;35;0;Wool
wool_yellow;35;4;Yellow Wool
yddrasilamulet;mln25;0;
yellowflower;37;0;Flower
yumibow;mln58;0;
